company_id,company_name,company_status_de,legal_form_en,activity_code1,company_registration_date,addr_street,addr_house_number,addr_postal_code,addr_city,rating_points,limit_value
"f5900a3252ebb21c6e18e94c783c445b","company 1","Aktiv","Private limited company","6420","1974-12-20","719c82b4cea5d4500370e98d746f5961",,"71711","Murr","90","10500"
"f5e36bf97ded1f2af752fa7c9b53b5d1","company 2","Aktiv","Public limited company","4321","1999-06-05","e89d4bea79a8330aa771135b3e872386",,"75179","Pforzheim","76","0"
"2bdb6d8dc20af7edfe21434ca748e92b","company 3","Aktiv","Registered merchant","10720","2002-09-09","2b462b295540e1e60a1b104a6f9f66de",,"30519","Hannover","93","10000"
"7a183029fd15b1ef32b539722727a66e","company 4","Aktiv","Private limited company","32503","1990-12-28","12aeb4421f3f895e606d666d58c50f14",,"39638","Gardelegen","84","185000"
"8849c8250c5cad751271fcd139c738ee","company 5","Aktiv","Limited partnership","22290","1983-02-18",,,"57482","Wenden","47","0"
"2e16d96e9509fe6cc07d17676534977c","company 6","Aktiv","Registered merchant","70220","2003-11-28","9ec40561638ebd16059e18cbacedae67",,"63110","Rodgau","33","12000"
"96b37c3afdb4e4921c5b9102c5eb5cd4","company 7","Aktiv","Private limited company","383","1998-11-26","93dce6a39e391388ed391affc85c1ee9",,"63741","Aschaffenburg","47","4450000"
"0e2e991d27fbf96176d9af7875b600cf","company 8","Aktiv","Private limited company","41103","1950-08-21","785bc028f71ae0069e51d0f265908a36",,"81679","München","37","385000"
"fdbbd534847d26c5ca26846d0a85230f","company 9","Aktiv","Limited partnership in which the general partner is a GmbH","55101","1995-05-15","7b18fef211409bb8110715cca67912b6",,"07745","Jena","21","8000"
"ece3c308fa820a3f9fb2c90e3439e598","company 10","Aktiv","Private limited company","682","1998-11-17","2a2c12376a76aec5bd1d814ad5b63fed",,"32049","Herford","27","12500"
"728d5538db5a38cb02628f89c0a1f7ad","company 11","Aktiv","Registered merchant","4753","1974-01-01","38eb91710f31a12165bcf2c452b3c5ef",,"93480","Hohenwarth","71","10500"
"bfce0e649533e2388cb16353db81388c","company 12","Aktiv","Private limited company","7010","2016-08-03","8045899dd1e03e89acd56c703fd64ee4",,"42555","Velbert","95","10500"
"96a1806804943fe156caa37772e132d7","company 13","Aktiv","Limited partnership","47710","1965-01-01","74d192fc48c464f8b151af5bac283ed6",,"48341","Altenberge","68","5000"
"4f93a8e4bc4360acf669d81820836f6e","company 14","Aktiv","Private limited company",,"1988-07-07","44d8636eeb8a5b154b56a96fb15a7e9c",,"73257","Köngen","2","0"
"26ed6c77a405eabca1e04c539060eec2","company 15","Aktiv","Private limited company","45110","1983-11-03","d85fe116a5128e9a4c97ac5e851f9550",,"85640","Putzbrunn","70","0"
"96458a7d31e170adf36fa68c87d604a1","company 16","Aktiv","Private limited company","2599","1967-12-31","8242bbcfb1238814f8d4b13bc396ce1b",,"46485","Wesel","77","27000"
"8a0f85a5e3568a15d9ea02c18efc2f0d","company 17","Aktiv","Registered co-operative","47523","1992-02-11","3c35b560bc2cbb593f071c070558ac00",,"08340","Schwarzenberg/Erzgeb.","22","7500"
"381af6932261c5794a6df7f7fe626f74","company 18","Aktiv","Private limited company","6832","1980-12-31","a03d744026d443e77d83972f7f5951dc",,"78467","Konstanz","35","0"
"80514aec0e12239e766085e0060a82e6","company 19","Aktiv","Private limited company","70101","1997-11-20","cf5d6dd0bbe008e561b62ba6d42d1b65",,"60313","Frankfurt am Main","71","0"
"54dc8dec6330ecfdf6e848a2a8320b73","company 20","Aktiv","General partnership",,"1991-02-21","9b2bb7f24e4d498c4d18f8b3469b549a",,"33719","Bielefeld","77","0"
"514994831d0be91ecf834c2103d5038d","company 21","Aktiv","Registered merchant","46734","1986-07-18","8366dbef7b5d00aaa3badaa7794bad1a",,"61389","Schmitten","23","10500"
"b5a3c784be02be67ffab31a241f69884","company 22","Aktiv","Private limited company","43220","1994-04-06","0258c16e3ca1e18ceccfeda0fa25c123",,"04249","Leipzig","66","6500"
"b5a3c784be02be67ffab31a241f69884","company 23","Aktiv","Private limited company","43220","1994-04-06","0258c16e3ca1e18ceccfeda0fa25c123",,"04249","Leipzig","66","6500"
"3bd634b88a81b8e4d550f5914473e1cc","company 24","Aktiv","Private limited company","28","1995-11-08","90504a6f15f2b31a7f53f59e2201fdf8",,"58454","Witten","22","5500"
"553d4ee6f1a493b73033ebe5ef55a2d3","company 25","Aktiv","Registered merchant","25993","1997-12-10","6492abc5bad7532c6a2141075af99ea6",,"39164","Wanzleben","31","10000"
"cce4bea3a5a378517f762fb70394c6dd","company 26","Aktiv","Private limited company",,"1977-10-25","e12bfff27fbdedee97b2cb566992468c",,"56291","Wiebelsheim","72","0"
"c702605695ba113ba7e4f8fa694d2343","company 27","Aktiv","Private limited company","41201","2001-08-16","0665fd944b32160a5d04afaa813b1718",,"63073","Offenbach am Main","76","6500"
"78b49c52ed4447e0ec57a9618071eb35","company 28","Aktiv","Private limited company","4339","1986-01-29","b0c2117d01fb74ea35ecf89a01f948de",,"56567","Neuwied","66","9000"
"747599a170ff70dcad1e0234c8b24711","company 29","Aktiv","Registered merchant",,"1937-01-16","6dde22f6d0d9d1641eddcf9c28975259",,"25782","Tellingstedt","54","0"
"7cd092740cbd16cc0e1f32c0f2cb8994","company 30","Aktiv","Private limited company","68","1991-10-10","350eb57886e295ec6db4f9466a602505",,"81545","München","74","0"
"4d277e0d980c9f87d18577e25cd72388","company 31","Aktiv","Public limited company","62019","1997-04-28","3d8604c240fd9a07b6f774f3fdee0ba8",,"50829","Köln","22","640000"
"1e3be6a2e4a82a1e56e7536bf92b0c5c","company 32","Aktiv","Limited partnership","35111","1919-10-04","03a9568b564162be1dac3126d1ff4e77",,"83374","Traunreut","44","7000"
"8817aff242cd5684d5a663640e69ecbf","company 33","Aktiv","Registered merchant","4777","2003-01-23","784bc09dcf7c662fe91a3f863cec2b59",,"65183","Wiesbaden","68","10500"
"b4bfa27fe588d2e9ecf8caeef6812d90","company 34","Aktiv","Private limited company","46692","1984-01-30","593ab16d05d4ea5149497ff1946a9b6e",,"66839","Schmelz","7","40500"
"2c57932f617b2a9402e59beae4028fa1","company 35","Aktiv","General partnership","4773","1972-03-02","bfba22bb9976251a2435fc6d60de59de",,"22083","Hamburg","18","5500"
